UserId,Portal,InvoiceNo,OrderedOn,ShippedOn,VAT,SKU,OrderItemID,OrderID,Product,Qty,Sales,ShippingPrice,Total,Status,ShippingType,TrackingID,ReturnedOn,UID,ModelName
Z3D,Amazon,Z3DEK1617-01,,2016-12-08,14.5,3D-DEC-EBY-CoolpadNote3Lite-D2475,11900000000000,403-6481157-3057113,Ebby Premium Printed Back Case Cover With Full protection For Coolpad Note 3 Lite (Designer Case),1,399,0,399,Shipped,,,,Z3DEK1617-01,
Z3D,Amazon,Z3DEK1617-02,,2016-12-08,14.5,3D-DEC-EBY-LenovoK3note-D1263,52600000000000,403-8428213-1179548,Ebby Premium Printed Back Case Cover With Full protection For Lenovo K3 Note (Designer Case),1,399,0,399,Shipped,,,,Z3DEK1617-02,
Z3D,Amazon,Z3DEK1617-03,,2016-12-08,14.5,3D-DEC-EBY-LenovoK3note-D2721,40900000000000,404-4117236-1373969,Ebby Premium Printed Back Case Cover With Full protection For Lenovo K3 Note (Designer Case),1,399,0,399,Shipped,,,,Z3DEK1617-03,
Z3D,Amazon,Z3DEK1617-04,,2016-12-08,14.5,3D-DEC-EBY-MOTOG2-D1128,49300000000000,171-1157390-0080356,Ebby Premium Printed Mobile Mobile Back Case Cover With Full protection For Motorola Moto G2 (Designer Case),1,399,0,399,Shipped,,,,Z3DEK1617-04,
Z3D,Amazon,Z3DEK1617-05,,2016-12-08,14.5,3D-DEC-EBY-MOTOG3-D1287,12800000000000,402-3123065-6033146,Ebby Premium Printed Mobile Mobile Back Case Cover With Full protection For Motorola Moto G3 (Designer Case),1,399,0,399,Shipped,,,,Z3DEK1617-05,
Z3D,Amazon,Z3DEK1617-06,,2016-12-08,14.5,3D-DEK-EBY-SAMJ2-U076,69700000000000,403-4688197-6938726,Ebby Premium Printed Back Case Cover With Full protection For Samsung Galaxy J2 (Designer Case),1,399,0,399,Shipped,,,,Z3DEK1617-06,
Z3D,Amazon,Z3DEK1617-07,,2016-12-08,14.5,3D-DEK-EBY-SAMS6ED-U173,3180000000000,404-7424478-1701118,Ebby Premium Printed Back Case Cover With Full protection For Samsung Galaxy S6 Edge (Designer Case),1,399,0,399,Shipped,,,,Z3DEK1617-07,
Z3D,Amazon,Z3DEK1617-08,,2016-12-08,14.5,3D-DEK-EBY-XPC4-S191,22100000000000,171-2559344-0778717,Ebby Premium Printed Back Case Cover With Full protection For Sony Xperia C4 (Designer Case),1,399,0,399,Shipped,,,,Z3DEK1617-08,
Z3D,Amazon,Z3DEK1617-09,,2016-12-08,14.5,3DDEKEBYZENMAXO154,46900000000000,404-9697349-6064321,Ebby Premium Printed Back Case Cover With Full protection For Asus ZenFone Max (Designer Case),1,449,0,449,Shipped,,,,Z3DEK1617-09,
Z3D,Amazon,Z3DEK1617-10,,2016-12-08,14.5,NIIP6016,50600000000000,403-1759640-3039532,Mobicture Almost a Lawyer Printed Phone Case for iPhone 6/6s,1,399,0,399,Shipped,,,,Z3DEK1617-10,
Z3D,Amazon,Z3DEK1617-11,,2016-12-08,14.5,NIIP6434,5200000000000,171-5353462-7315507,Mobicture Where is the Food Printed Phone Case for iPhone 6/6s,1,399,0,399,Shipped,,,,Z3DEK1617-11,
Z3D,Amazon,Z3DEK1617-12,,2016-12-08,14.5,NIIP6P101,20500000000000,404-0662118-9424347,Mobicture Colorful Mickey Printed Phone Case for iPhone 6PLUS / 6sPLUS,1,399,0,399,Shipped,,,,Z3DEK1617-12,
Z3D,Amazon,Z3DEK1617-13,,2016-12-08,14.5,PRGJ2054,56900000000000,171-8614649-3227550,Mobicture Lady with a Pot Printed Phone Case for Samsung Galaxy J2,1,399,0,399,Shipped,,,,Z3DEK1617-13,
Z3D,Amazon,Z3DEK1617-14,,2016-12-08,14.5,XGDGE703281,11700000000000,404-2354519-2801967,Mobicture Moon Premium Printed Case For Samsung E7,1,399,0,399,Shipped,,,,Z3DEK1617-14,
